Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;;;;;;;;
22;Me encantan las películas en las que aparece un ______.;genio;jenio;;genio;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Luego de entrar al curso; notamos que estaba llenísimo de ______.;gente;jente;;gente;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe gente;;;;;;;
22;En ______ este curso tiene muy buena asistencia.;general;jeneral;;general;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Esa niña tuvo un muy buen ______ al ayudar a la abuelita.;gesto;jesto;;gesto;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Lo que más me gusta de matemáticas es aprender la ______.;geometría;jeometría;;geometría;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Me encantaría tener un hermano ______ y compartir todo con él.;gemelo;jemelo;;gemelo;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;En la verdulería hay gente muy ______ atendiendo.;gentil;jentil;;gentil;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Hoy soñamos con un ______ lleno a de aventuras.;viaje;viage;;viaje;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Siempre que corremos; llego muy ______ a casa.;agitada;ajitada;;agitada;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe agitada;;;;;;;
22;Los monos son mucho más ______ que los gatos para subir un árbol.;ágil;ájil;;ágil;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;El ______ de mi papá es un señor muy amable y solidario.;jefe;gefe;;jefe;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Ese caballo ganó la carrera únicamente por la habilidad de su ______.;jinete;ginete;;jinete;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;En el zoológico el animal que más me gusta mirar es la ______.;jirafa;girafa;;jirafa;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;No quisiera probar de esa comida; pues vi que tiene mucho ______.;ají;agí;;ají;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe ají;;;;;;;
22;Mi chaleco favorito está tan viejo que tiene un par de ______.;agujeros;agugeros;;agujeros;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;El ______ da un sabor único a las comidas.;perejil;peregil;;perejil;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Están muy entretenidos los ______ de esta serie animada.;personajes;personages;;personajes;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Mi abuelita guarda en una ______ todos sus recuerdos de joven.;cajita;cagita;;cajita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;¡Tu abuela no para de ______ bufandas para todos!;tejer;tejer;;tejer;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Ver películas de ______ me pone muy nerviosa.;espionaje;espionage;;espionaje;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;El ______ es una herramienta de trabajo para los actores.;maquillaje;maquillage;;maquillaje;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;El viaje en este tren ofrece un ______ maravilloso.;paisaje;paisage;;paisaje;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Esta naranja es tan pequeña que debería decir que es una ______.;naranjita;narangita;;naranjita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
22;Luego de que mi mamá me enseñó; le pude ayudar con su ______.;tejido;tegido;;tejido;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe tejido;;;;;;;
22;Para no pisar el pasto; el jardinero instaló una ______.;rejita;regita;;rejita;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe rejita;;;;;;;
23;En el jardín hay una bella _________ .;floresita;lorecita;florezita;florecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Joaquín todos los días le dice a su ____________ que la quiere mucho.;madrecita;madresita;madrezita;madrecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;A los 12 años andrea es una pequeña __________ .;mujersita;mujercita;mujerzita  ;mujercita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;El abuelo toma entre sus brazos a su ___________ .;nietesita;nietecita  ;nietezita;nietecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;El cielo estaba estrellado en aquella hermosa ____________ .;nochecita  ;nochesita;nochezita;nochecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;____________ palomita que se ha roto un alita.;Pobrecita;Pobresita;Pobrezita;Pobrecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Durante la ___________ Paola pasea con su mascotita.;tardecita;tardesita;tardezita;tardecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Antonia pintó una _________ para utilizarla como adorno.;piedrecita;piedresita;piedrezita      ;piedrecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;La mamá de Sofía bebe café en una ___________ .;tacita;tasita;tazita;tacita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Esa hermosa lámpara genera una sutil_____________ .;lucesita;lusesita;luzecita;lucecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Del collar de mi madre cuelga una ____________ de plata.;crucesita;crucecita;crucezita                                                        ;crucecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;En el patio de mi tío hay una estatua de una _______________ .;duendesita;duendecita;duendezita;duendecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;La naríz de mi perro parece una ______________.;nuesesita;nuececita;nuecezita;nuececita ;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;La mamá de Juan siempre le canta una ______________ de cuna antes de dormir.;cancioncita;cancionsita;cancionzita;cancioncita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;En la _______________ de mi mamá crece mi hermanito.;panzita;pansita;pancita;pancita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Sofía no se puede quedar _______________ cuando escucha su música favorita. ;quietecita;quietesita;quietezita;quietecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;La __________________ de ese conejito en rosadita. ;naricita;nariscita;narizcita;naricita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Aquella pequeña ________________ posee gran talento.;actrisita;actrizita;actricita;actricita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Hay países que en verano cae un pequeña _______________.;lluviecita;lluviesita;lluviezita;lluviecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Carlos ha observado que su mascota está un poco ______________ para su casita.;grandesita;grandecita;grandezita;grandecita ;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;A los 16 años Antonia se siente una _________________. ;jovensita;jovencita;jovenzita;jovencita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Antonia que es una católica muy creyente; siempre le reza a la ______________.;virgenscita.;virgensita.;virgencita.  ;virgencita ;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe virgencita;;;;;;;
23;Cuando Antonio necesita inspiración lee_______________ de grandes escritores.;fracesita;frasecita;fracezita;frasecita ;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;En la casa de  _________________ reciclan toto lo que pueden.;Carmencita;Carmensita;Carmenscita ;Carmencita;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;De camino al colegio; Sergio suele ver una ________________ de muchos colores.;avecita;avesita;avescita;avecita;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe avecita;;;;;;;
23;A Sofía le gusta comer de postre un ___________ de chocolate.;pedazito        ;pedacito    ;pedasito;pedacito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;El gato de Carlitos es muy _____________;suavecito  ;suavesito;suavezito;suavecito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Antonia tienen un ____________ blanco de mascota.;ratoncito;ratonzito;ratonsito;ratoncito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;José; cuando llega del colegio alimenta a su  __________;pececito;pezesito         ;pecesito         ;pececito;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe pececito;;;;;;;
23;El papá de Juan le regaló un __________  de juguete para su cumpleaños.;trencito         ;trenzito ;trencito   ;trencito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;La mamá de Sofía siempre bebe un ___________ después de almuerzo.;cafecito     ;cafesito;cafezito;cafecito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Antonia todas las noches le narra un _______________ a su hermanito.;cuentezito;cuentesito;cuentecito;cuentecito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Antonia tiene un _____________  de color rosado.;lapicito;lapisito;lapizito;lapicito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Aquel _____________ posee el corazón más grande.;hombresito;hombrecito;hombrezito;hombrecito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Para la fiesta Andrés se disfrazó de _________________;doctorcito;doctorsito  ;doctorzito;doctorcito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Sofía; de tierno ________________ siempre acaricia cariñosamente  a sus mascotas.;corasonzito;corazonsito;corazoncito;corazoncito;¿Cómo se escribe correctamente la palabra que falta en la oración?;La palabra se escribe corazoncito;;;;;;;
23;Cuando la televisión no funciona te doy un pequeño ______________;golpecito    ;golpezito       ;golpesito;golpecito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Carlos siempre se siente mejor despues de dar un ______________;abracito ;abrasito;abrazito;abracito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;José siempre toma afectuosamente a su hermano  del _________________;bracito;brazito   ;brasito;bracito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;En el jardín de mi vecino hay una pequeña estatua de un __________;duendecito;duendesito;duendezito;duendecito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;En sus dibujos Andrés siempre pinta un _____________ en el cielo.;solcito;solsito  ;solzito;solcito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;El pequeño _____________ de Tomás parece un empanidita. ;piececito;piecesito;piecezito ;piececito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Aquel _______________ me canta todas las mañanas.;gorrioncito;gorrionsito;gorrionzito ;gorrioncito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;A Samuel le entanca el _____________ con tomatito. ;arrocito  ;arrozito;arrosito;arrocito ;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Aquellos bailarines realizan su coreografía utilizando un ________________. ;bastoncito;bastonsito;bastonzito;bastoncito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;En el acuario del zoológico hay un pequeño  _________________.;tiburonsito;tiburonzito;tiburoncito;tiburoncito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Sofía le regaló un _________________ a su hermanita.;camisonsito;camisonzito;camisoncito;camisoncito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Sofía le cuenta un secreto _______________ a su amiga al oído. ;despacito;despasito;despazito;despacito;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
23;Aquel abuelito toma tiernamente entre sus brazos a su _________________. ;nietecito;nietezito;nietesito;nietecito ;¿Cómo se escribe correctamente la palabra que falta en la oración?;;;;;;;;;
24;Escribe la frase dictada.;;;;De una caja de lápices; Camila tomo el lápiz negro. ;De una caja de lápices;;De una caja de lápices; Camila tomo el lápiz negro. ;;;;;
24;Escribe la frase dictada.;;;;Los leones son feroces. ;Los leones son feroces. ;;;;;;;;;
24;Escribe la frase dictada.;;;;La actriz se probó varios disfraces. ;La actriz se probó varios disfraces. ;;;;;;;;;
24;Escribe la frase dictada.;;;;En una fiesta había luces de colores. ;En una fiesta había luces de colores. ;;;;;;;;;
24;Escribe la frase dictada.;;;;En la iglesia entregaron cruces a los asistentes. ;En la iglesia entregaron cruces a los asistentes. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Encontramos un nido de codornices. ;Encontramos un nido de codornices. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Con mi tío pescamos varios peces en el lago. ;Con mi tío pescamos varios peces en el lago. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Las raíces de los árboles ;Las raíces de los árboles ;;;;;;;;;
24;Escribe la frase dictada.;;;;Los niños se ven felices jugando en el parque.;Los niños se ven felices jugando en el parque.;;;;;;;;;
24;Escribe la frase dictada.;;;;Jaime salto siete veces. ;Jaime salto siete veces. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Levante una gran piedra y encontré muchas lombrices.;Levante una gran piedra y encontré muchas lombrices.;;;;;;;;;
24;Escribe la frase dictada.;;;;Los avestruces esconden su cabeza en la tierra. ;Los avestruces esconden su cabeza en la tierra. ;;;;;;;;;
24;Escribe la frase dictada.;;;;En la clase de arte hicimos antifaces. ;En la clase de arte hicimos antifaces. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Los niños son capaces de saltar en un pie. ;Los niños son capaces de saltar en un pie. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Javier comió un helado con nueces. ;Javier comió un helado con nueces. ;;;;;;;;;
24;Escribe la frase dictada.;;;;La gimnasta es esforzada.;La gimnasta es esforzada.;;;;;;;;;
24;Escribe la frase dictada.;;;;En la película aparece un genio.;En la película aparece un genio.;;;;;;;;;
24;Escribe la frase dictada.;;;;Con perejil  las comidas quedan sabrosas.;Con perejil  las comidas quedan sabrosas.;;;;;;;;;
24;Escribe la frase dictada.;;;;Mi mamá me enseño a tejer.;Mi mamá me enseño a tejer.;;;;;;;;;
24;Escribe la frase dictada.;;;;Es genial jugar con mi perro.;Es genial jugar con mi perro.;;;;;;;;;
24;Escribe la frase dictada.;;;;Al correr me agito mucho.;Al correr me agito mucho.;;;;;;;;;
24;Escribe la frase dictada.;;;;Me gusta la jirafa cuando voy al zoológico.;Me gusta la jirafa cuando voy al zoológico.;;;;;;;;;
24;Escribe la frase dictada.;;;;El jinete monta su caballo. ;El jinete monta su caballo. ;;;;;;;;;
24;Escribe la frase dictada.;;;;El gigante nos ve como hormiguitas.;El gigante nos ve como hormiguitas.;;;;;;;;;
24;Escribe la frase dictada.;;;;La gelatina de naranja es la mejor.;La gelatina de naranja es la mejor.;;;;;;;;;
24;Escribe la frase dictada.;;;;El vendedor es gentil.;El vendedor es gentil.;;;;;;;;;
24;Escribe la frase dictada.;;;;Los monos son ágiles para escalar árboles. ;Los monos son ágiles para escalar árboles. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Mi chaleco viejo tiene agujeros.;Mi chaleco viejo tiene agujeros.;;;;;;;;;
24;Escribe la frase dictada.;;;;MI abuela guarda en una cajita sus joyas.;MI abuela guarda en una cajita sus joyas.;;;;;;;;;
24;Escribe la frase dictada.;;;;A mi abuela le gusta tejer. ;A mi abuela le gusta tejer. ;;;;;;;;;
24;Escribe la frase dictada.;;;;A Josefa le gusta tomar tecito con su abuela.;A Josefa le gusta tomar tecito con su abuela.;;;;;;;;;
24;Escribe la frase dictada.;;;;Tengo varios lapicitos de colores. ;Tengo varios lapicitos de colores. ;;;;;;;;;
24;Escribe la frase dictada.;;;;¿Quieres una tacita de té?;¿Quieres una tacita de té?;;;;;;;;;
24;Escribe la frase dictada.;;;;Mamá y papá se toman un cafecito en la tarde.;Mamá y papá se toman un cafecito en la tarde.;;;;;;;;;
24;Escribe la frase dictada.;;;;En el lago encontré piedrecitas de muchos colores. ;En el lago encontré piedrecitas de muchos colores. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Martin tiene un avioncito de juguete.;Martin tiene un avioncito de juguete.;;;;;;;;;
24;Escribe la frase dictada.;;;;Con mi abuela caminamos despacito.;Con mi abuela caminamos despacito.;;;;;;;;;
24;Escribe la frase dictada.;;;;Un viejecito nos saludo en la plaza.;Un viejecito nos saludo en la plaza.;;;;;;;;;
24;Escribe la frase dictada.;;;;El conejo de Marta es suavecito.;El conejo de Marta es suavecito.;;;;;;;;;
24;Escribe la frase dictada.;;;;Me tomé un vasito de agua. ;Me tomé un vasito de agua. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Un pequeño leoncito vimos en el zoológico. ;Un pequeño leoncito vimos en el zoológico. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Vi una lombricita en el jardín. ;Vi una lombricita en el jardín. ;;;;;;;;;
24;Escribe la frase dictada.;;;;Los piecitos del bebe son gorditos. ;Los piecitos del bebe son gorditos. ;;;;;;;;;
24;Escribe la frase dictada.;;;;La mamá de Andrea le da un pedacito de manzana.;La mamá de Andrea le da un pedacito de manzana.;;;;;;;;;
24;Escribe la frase dictada.;;;;Tengo un llavero con forma de corazoncito.;Tengo un llavero con forma de corazoncito.;;;;;;;;;
25;Parte de nuestro cuerpo a través de la cual ingresan los alimentos.;;;;boca;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Prenda de vestir que usamos para abrigar nuestro cuello.;;;;bufanda;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Lugar de nuestro colegio donde encontramos muchos libros.;;;;biblioteca;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Palabra con la que generalmente comienza un cuento. Le siguen las palabras: una vez.;;;;había;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Parte de nuestro cuerpo que en uno de sus extremos tiene manos.;;;;brazos;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Los autos la tienen y al presionarlas emiten un sonido.;;;;bocina;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Persona que ayuda a la comunidad apagando incendios.;;;;bombero;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Lugar de mucha vegetación y árboles.;;;;bosque;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Animal grande y de cuatro patas que sirve como medio de transporte.;;;;caballo;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Embarcación más pequeña que un barco.;;;;bote;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Antónimo de cerrar.;;;;abrir;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Sinónimo de lindo.;;;;bonito;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Están en estado gaseoso en el cielo; son blancas y a veces grises.;;;;nube;Lee la descripción y escribe la palabra a la cual corresponde.;Las nubes están en el cielo y es un conjunto de gotas  de agua;;;;;;;
25;Se inflan y están en las fiestas de cumpleaños.;;;;globo;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Es la mamá de mi mamá.;;;;abuela;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Vuela sobre una escoba; generalmente la dibujan con nariz grande.;;;;bruja;Lee la descripción y escribe la palabra a la cual corresponde.;Las brujas se representan con una nariz grande; una berruga y vuelan sobre una escoba;;;;;;
25;Símbolo patrio de un país; se iza en un mástil.;;;;bandera;Lee la descripción y escribe la palabra a la cual corresponde.;La bandera de Chile es un símbolo patrio y se iza cuando se canta el himno nacional;;;;;;;
25;Mamífero marino de gran tamaño.;;;;ballena;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Tipo de calzado alto; por lo general se usa en invierno.;;;;bota;Lee la descripción y escribe la palabra a la cual corresponde.;Las botas son zapatos largos que se usan en invierno ;;;;;;;
25;Recipiente de vidrio o plástico en donde se almacena líquido.;;;;botella;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Animales que nacen por huevos; tienen plumas y vuelan.;;;;aves;Lee la descripción y escribe la palabra a la cual corresponde.;Las aves son animales que vuelan y tienen plumas;;;;;;;
25;Recipiente de vidrio o plástico donde echamos los líquidos para beberlos.;;;;vaso;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Manífero de cuatro patas; de ella se extrae leche y generalmente tienen color negro o blanco.;;;;vaca;Lee la descripción y escribe la palabra a la cual corresponde.;Las vacas son animales de color blanco y negro; de ellas se extrae leche ;;;;;;
25;Inyección que generalmente se pone en los brazos.;;;;vacuna;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Agua en forma de gotas que cae desde las nubes.;;;;lluvia;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Ser vivo que tiene esqueleto.;;;;vertebrado;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Artefacto eléctrico que tiene una pantalla en la parte delantera.;;;;televisión;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Acción realizada por las aves para trasladarse por el cielo.;;;;volar.;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Estación del año que viene después del invierno.;;;;primavera;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Sector de una calle por la cual transitan los peatones.;;;;vereda;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Agua solidificada y de color blanco.;;;;nieve;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Periodo en donde no se trabaja ni se estudia.;;;;vacaciones;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Estación más calurosa del año.;;;;verano;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Persona que vive al lado de nuestra casa.;;;;vecino;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Cavidad  que tiene vidrio y que está en una pared.;;;;ventana;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Prenda de vestir que une polera y falda.;;;;vestido;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Médico que atiende animales.;;;;veterinario;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Quinto día de la semana.;;;;viernes;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Objeto que lanza aire para refrescar un ambiente.;;;;ventilador;Lee la descripción y escribe la palabra a la cual corresponde.;;;;;;;;;
25;Cinco letras del abecedario que no corresponden a consonantes.;;;;vocales;Lee la descripción y escribe la palabra a la cual corresponde.;; pero no son consonantes;;;;;;;
26;La parcela de mi abuela esta cercada con ala __ re.;mb;nv;mv;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Camila compró una alfo__ra  muy linda.;mb;nv;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Llevemos la linterna para alu__rar en la oscuridad.;nv;mb;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;En el hospital hay muchas a__ulancias.;nb;nv;mb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;A Joaquin le causa mucho aso__ro ir al zoológico.;nv;mb;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Ví una casa construida con ba __ ú.;mp;mb;nv;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Las bo__as son explosivos muy peligrosos.;mb;mp;nv;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Arturo ayudó en la colecta de los bo__eros.;nb;nv;mb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Daniela le regaló a su profesora una caja de bo__ones.;nv;mb;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;La altura de mi hermano es hasta mi ho__ro.;mb;nv;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;La fruta preferida de Alonso es el me__rillo.;np;nv;mb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Es necesario comer legu__res una vez a la semana.;nb;nv;mb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;El ti__re de la casa de Gustavo tiene un sonido muy agradable.;nv;mb;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Mariela sie__ra papas en su huerto.;mb;nv;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Mi tio tiene un so__rero de mariachi;nv;mb;nb;mb;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Diego está i__estigando  en internet cómo se recicla el papel.;mb;nv;np;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;El caracol es un animal i__ertebrado;nv;mb;nb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;En mi escuela hicimos una co__ivencia  para celebrar las fiestas patrias.;nb;nv;mp;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Claudia e__olvió los regalos de navidad.;nv;mb;nb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Alexis e__ió un correo electrónico a su Tía que vive en Temuco.;mp;mb;nv;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;En el co__ento hay muchas monjitas.;mb;mp;nv;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Fue muy interesante la co__ersación que tuve con mi papá.;nb;nv;mb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Los e__ases de plástico y vidrio se pueden reciclar. ;nv;mb;nb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;En i__ierno llueve mucho y hace frio.;mb;nb;nv;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;El tra__ía es un medio de transporte muy antiguo.;np;nv;mb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;En el i__ernadero  se plantaron rosas y claveles.;nb;nv;mb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Martina co__idó galletas a sus compañeros.;nv;mb;np;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;María i__itó al cine a su mejor amiga Roberta.;mb;nv;nb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Los reponedores  hacen  i__entarios para contar los alimentos.;nv;mb;nb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;La profesora co__ocó a una reunión de apoderados.;np;nv;mb;nv;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Me gusta aca__ar cerca de los ríos y lagos.;mp;nv;np;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Jugar con el tro__o es muy divertido.;np;mp;nb;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Hay que utilizar a__olletas que ahorren energía.;mp;np;nv;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;La iglesia tiene una inmensa campana. ;np;nv;mp;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Antonia fue de vacaciones al ca__o.;mp;np;nb;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;La mamá de Cristobal cocinó tallarines con salsa de cha__iñones.;np;mp;mb;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Los chi__ancé son animales muy inteligentes.;mb;mp;np;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
26;Me gusta mucho  lavar mi pelo con cha__ú de manzanilla y arándanos.;mv;np;mp;mp;Selecciona la combinación que falta en la oración.;;;;;;;;;
