Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen
7;Siempre al llegar del colegio guardo mi mochila.;;;;8;¿Cuántas palabras tiene la siguiente oración?;
7;La exposición de arte dura hasta mañana.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;Los higos son frutos muy dulces y jugosos.;;;;8;¿Cuántas palabras tiene la siguiente oración?;
7;Las jirafas tienen el cuello muy largo.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;Mañana me juntaré con mis amigos.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;Juanito compró caramelos y helados.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Mi perrita  es muy juguetona.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Mi abuelita tiene el pelo blanco.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;El kiwi es una fruta ácida.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;El cumpleaños de Lilian estuvo muy entretenido.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;El león ruge fuerte.;;;;4;¿Cuántas palabras tiene la siguiente oración?;
7;Mi mamá tiene lanas de muchos colores.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;Yo tengo muchos amigos.;;;;4;¿Cuántas palabras tiene la siguiente oración?;
7;Me gusta mucho el jugo de manzanas.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;Me gusta acostarme en el pasto.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;Mi hermana se llama Natalia.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Yo nunca he volado en avión.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;En otoño hace mucho frio.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Las arañas tienen ocho patas.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Me gusta escuchar música porque me pone contenta.;;;;8;¿Cuántas palabras tiene la siguiente oración?;
7;La hermana de Margarita tiene quince años.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;El sol ilumina.;;;;3;¿Cuántas palabras tiene la siguiente oración?;
7;El almuerzo estuvo muy rico.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Me gusta leer rimas y poemas.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;Tengo rosas y tulipanes en mi jardín.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;Los días sábados me levanto más tarde.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;Tomás es mi mejor amigo.;;;;7;¿Cuántas palabras tiene la siguiente oración?;
7;Los ratones tienen cola larga.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Me gustaría viajar en avión.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Antonia vio un video muy interesante en la web.;;;;5;¿Cuántas palabras tiene la siguiente oración?;
7;Me gustan los duraznos.;;;;4;¿Cuántas palabras tiene la siguiente oración?;
7;La zampoña es un instrumento musical.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
7;El primo de Eduardo es zurdo.;;;;6;¿Cuántas palabras tiene la siguiente oración?;
8;;;;;;;
9;;;;;;;
10;;;;;;;
11;Los caracoles se alimentan de ricas &hojas&.;La;Las;Una;Las;Identifica el artículo que corresponde a la palabra destacada.;
11;En invierno uso &guantes& y gorro para abrigarme.;un;Unos;El;Unos;Identifica el artículo que corresponde a la palabra destacada.;
11;Martina e Isidora comen &helados& para pasar el calor;El;La;Unos;Unos;Identifica el artículo que corresponde a la palabra destacada.;
11;Las calles de mi &barrio& son iluminadas y seguras.;El;Los;Unos;El;Identifica el artículo que corresponde a la palabra destacada.;
11;Me gusta mucho leer &cuentos& antes de acostarme.;Un;Los;El;Los;Identifica el artículo que corresponde a la palabra destacada.;
11;Fui a ver a mi abuelita y me preparó ricas galletas para tomar &té&.;El;La;Unos;El;Identifica el artículo que corresponde a la palabra destacada.;
11;Cuando voy al cine, me gusta ver &películas& comiendo galletas.;Una;Unas;Un;Unas;Identifica el artículo que corresponde a la palabra destacada.;
11;Mi &estuche& tiene gran variedad de lápices.;El;Unos;La;El;Identifica el artículo que corresponde a la palabra destacada.;
11;A mi perrito Inti le encanta comer &galletas&.;Las;Una;La;Las;Identifica el artículo que corresponde a la palabra destacada.;
11;Todos los viernes mi profesora nos da &tarea& para la casa.;La;Unas;Un;La;Identifica el artículo que corresponde a la palabra destacada.;
11;Necesito comprar &pinceles& y témperas para hacer un trabajo.;Unos;Un;El;Unos;Identifica el artículo que corresponde a la palabra destacada.;
11;En el cumpleaños de Manuel habrá una piñata llena de &dulces&.;Un;Unos;El;Unos;Identifica el artículo que corresponde a la palabra destacada.;
11;Los domingos me gusta comer una comida especial y ricos &postres&.;Un;El;Los;Los;Identifica el artículo que corresponde a la palabra destacada.;
11;Por las noches, me gusta salir al &patio& y ver la luna.;Un;La;Unos;Un;Identifica el artículo que corresponde a la palabra destacada.;
11;Todos los días paseo a mi perro, aunque no le gusta usar &correa&.;La;Unas;El;La;Identifica el artículo que corresponde a la palabra destacada.;
11;Me gusta mucho ir de &paseo& con mis papás al parque.;La;El;Una;El;Identifica el artículo que corresponde a la palabra destacada.;
11;A mi hermana le gusta mucho escuchar &música&.;La;Un;Unas;La;Identifica el artículo que corresponde a la palabra destacada.;
11;Para la once de ayer mi mamá preparó ricas &galletas&.;Unas;La;El;Unas;Identifica el artículo que corresponde a la palabra destacada.;
11;Susana y Catalina compraron lindos &vestidos&.;Un;Una;Unos;Unos;Identifica el artículo que corresponde a la palabra destacada.;
11;Hoy nuestra profesora nos pidió dibujar nuestro &animal& favorito.;Un;Una;Unos;Un;Identifica el artículo que corresponde a la palabra destacada.;
11;Mi mamá dice que cuando sea grande seré &artista&.;Una;Las;Los;Una;Identifica el artículo que corresponde a la palabra destacada.;
11;Mi tía me regalo lindos &calcetines& para el frío.;El;Los;La;Los;Identifica el artículo que corresponde a la palabra destacada.;
11;Hoy me quedé despierta y llegué tarde al &trabajo&.;Unos;Un;El;El;Identifica el artículo que corresponde a la palabra destacada.;
11;El sábado estuvimos de &fiesta& por el cumpleaños de mi hermana.;La;Unas;El;La;Identifica el artículo que corresponde a la palabra destacada.;
11;Mi mamá se echa &crema& todas las noches antes de acostarse.;Un;Los;La;La;Identifica el artículo que corresponde a la palabra destacada.;
12;La ______ convive con hermosos peces de colores.;sirena;cirena;;sirena;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Esta ______ está coja.;silla;cilla;;silla;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Un ______ me indicó venir para acá.;señor;ceñor;;señor;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Los ______ de mi amiga son sagrados.;secretos;cecretos;;secretos;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;La ______ es un lindo reptil.;serpiente;cerpiente;;serpiente;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Este mar está lleno de ______ de colores.;peces;peses;;peces;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Cuando las autoridades hablaron, todos guardamos ______. ;silencio;cilencio;;silencio;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;En el ______ de Santiago trabajan muchas personas.;centro;sentro;;centro;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Mi gato duerme todo el día en el ______.;sillón;cillón;;sillón;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Al ver a mi mamá sentí mucha ______.;felicidad;felisidad;;felicidad;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Cada ______ tenemos una vez educación física. ;semana;cemana;;semana;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;El animal a rayas más lindo es la ______.;cebra;sebra;;cebra;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Cuando él se enoja levanta su ______.;ceja;seja;;ceja;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;La ______ es un alimento muy rico y saludable.;cebolla;sebolla;;cebolla;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;El patio de mi casa tiene un poco de pasto y un poco de ______.;cemento;semento;;cemento;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Antes de número uno está el ______.;cero;sero;;cero;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Para ir al picnic necesitamos una ______.;cesta;sesta;;cesta;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Para el desayuno, prefiero comer ______.;cereales;sereales;;cereales;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Para tu viaje, no olvides el ______ de dientes.;cepillo;sepillo;;cepillo;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;La mermelada de ______ es mi favorita.;ciruela;siruela;;ciruela;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;La figura que más ocupo en mis dibujos es el ______.;círculo;sírculo;;círculo;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Ya alimentamos a este ______ muchas veces.;cerdo;serdo;;cerdo;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;¡La ______ de hoy estaba deliciosa!;cena;sena;;cena;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Este color del ______ lo hace parecer un mar profundo.;cielo;sielo;;cielo;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Hoy en día, casi todos tienen ______.;celular;selular;;celular;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;El ______ del laboratorio es realmente un genio.;científico;sientífico;;científico;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;La fila para entrar al ______ estaba muy larga.;circo;sirco;;circo;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Cuando pasamos por el lago, observamos bellos ______.;cisnes;sisnes;;cisnes;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Los ______ son tan altos que rascan el cielo.;edificios;edifisios;;edificios;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Quisiera pedelar como aquél ______.;ciclista;siclista;;ciclista;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Mi ______ está perfecta para salir.;bicicleta;bisicleta;;bicicleta;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Me parece muy linda la historia de la ______.;cigüeña;sigüeña;;cigüeña;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Después del cuatro viene el _____.;cinco;sinco;;cinco;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Le regalaremos un ______ a mi papá.;cinturón;sinturón;;cinturón;¿Cómo se escribe correctamente la palabra que falta en la oración?;
12;Me encanta mi ______.;ciudad;siudad;;ciudad;¿Cómo se escribe correctamente la palabra que falta en la oración?;
13;El sábado Marcela cumplirá _________ años y hará una fiesta de disfraces.;;;;quince;Escribe la palabra que falta utilizando la letra Q;
13;El ________ básico realizó una campaña de reciclaje.;;;;quinto;Escribe la palabra que falta utilizando la letra Q;
13;Necesitamos una  _________ de coser para hacer los disfraces;;;;máquina;Escribe la palabra que falta utilizando la letra Q;
13;Un __________ me molesta y no puedo concentrarme.;;;;mosquito;Escribe la palabra que falta utilizando la letra Q;
13;¡Qué lindo vestido tiene el ________!;;;;maniquí;Escribe la palabra que falta utilizando la letra Q;
13;Javier dijo que se disfrazará de __________. ;;;;esquimal;Escribe la palabra que falta utilizando la letra Q;
13;En la ___________ de la sala de clases esta el basurero.;;;;esquina;Escribe la palabra que falta utilizando la letra Q;
13;El _________ de mi colegio vende naranjas muy ricas.;;;;quiosco;Escribe la palabra que falta utilizando la letra Q;
13;Mi hermano tiene clases de _________ en el colegio.;;;;química;Escribe la palabra que falta utilizando la letra Q;
13;Andrés utiliza ______________ para pintarse la cara de payaso.;;;;maquillaje;Escribe la palabra que falta utilizando la letra Q;
13;La mamá de Josefa le dio pan con ____________ para desayunar.;;;;mantequilla;Escribe la palabra que falta utilizando la letra Q;
13;Para el disfraz de Juan, su mamá compró un ________;;;;quimono;Escribe la palabra que falta utilizando la letra Q;
13;Martín le ________ la pelota al otro jugador y metió un gol. ;;;;quitó;Escribe la palabra que falta utilizando la letra Q;
13;El __________ de futbol del colegio ha ganado el campeonato. ;;;;equipo;Escribe la palabra que falta utilizando la letra Q;
13;La mamá de Juan le está probando el disfraz diciendo que se quede _____;;;;quieto ;Escribe la palabra que falta utilizando la letra Q;
13;Mi papá me dijo que el __________ es carne de caballo. ;;;;charqui;Escribe la palabra que falta utilizando la letra Q;
13;Andrea y su mamá juegan a hacerse ___________.;;;;cosquillas;Escribe la palabra que falta utilizando la letra Q;
13;El miércoles iremos a la nieve, Marcela dijo que me prestaría sus ______;;;;esquís;Escribe la palabra que falta utilizando la letra Q;
13;La familia de Verónica viajó a _________ en las vacaciones;;;;Quilpué ;Escribe la palabra que falta utilizando la letra Q;
13;Mi abuela entro a __________________ para ser operada. ;;;;quirófano;Escribe la palabra que falta utilizando la letra Q;
13;Los abuelos de José fueron a ___________ de vacaciones;;;;Turquía;Escribe la palabra que falta utilizando la letra Q;
13;___________ un disfraz de bailarina. ;;;;Quiero;Escribe la palabra que falta utilizando la letra Q;
13;¡La fiesta de disfraces de Marcela es _________!;;;;aquí;Escribe la palabra que falta utilizando la letra Q;
13;La enfermera del colegio sacó su __________ y curo las heridas de Jaime. ;;;;botiquín;Escribe la palabra que falta utilizando la letra Q;
13;Carolina se disfrazó de _____________. ;;;;vaquita;Escribe la palabra que falta utilizando la letra Q;
13;En el colegio aprendimos a tocar la ____________;;;;quena;Escribe la palabra que falta utilizando la letra Q;
13;¡Qué bien se ve Miguel disfrazado de _________;;;;vaquero;Escribe la palabra que falta utilizando la letra Q;
13;José vio un___________ en una película. ;;;;tanque;Escribe la palabra que falta utilizando la letra Q;
13;En el cumpleaños de Marcela tenían ________ para comer. ;;;;queso;Escribe la palabra que falta utilizando la letra Q;
13;El ____________ me corto el pelo y me peino como las bailarinas. ;;;;peluquero;Escribe la palabra que falta utilizando la letra Q;
13;Mi papá va a jugar con la______________ de tenis ;;;;raqueta;Escribe la palabra que falta utilizando la letra Q;
13;Marcela tenía muchos ___________ de regalo. ;;;;paquetes;Escribe la palabra que falta utilizando la letra Q;
13;Nos dio miedo ver a Martin con su disfraz de _____________.;;;;esqueleto;Escribe la palabra que falta utilizando la letra Q;
13;Josefa y su hermano se perdieron en el _____________.;;;;bosque;Escribe la palabra que falta utilizando la letra Q;
13;Andrea y su mamá salen en bicicleta al ____________.;;;;parque;Escribe la palabra que falta utilizando la letra Q;
13;El papá de  Martín compró un computador y pago con ____________.;;;;cheque;Escribe la palabra que falta utilizando la letra Q;
13;¡Qué rico esta el _________ que hizo la mamá de Marcela!;;;;queque;Escribe la palabra que falta utilizando la letra Q;
13;En el colegio hay un __________ de agua que tiene varios peces. ;;;;estanque;Escribe la palabra que falta utilizando la letra Q;
13;En el cumpleaños de Marcela jugamos al __________ ¡qué divertido!;;;;emboque;Escribe la palabra que falta utilizando la letra Q;
13;La leche estaba caliente, me _______  la lengua. ;;;;queme ;Escribe la palabra que falta utilizando la letra Q;
13;La mamá de Martín  le dio  ____________ para desayunar.;;;;quesillo;Escribe la palabra que falta utilizando la letra Q;
13;El papá de Andrés tiene una ___________ en el brazo. ;;;;quemadura;Escribe la palabra que falta utilizando la letra Q;
14;_____tarra;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;____rnaldas;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;____llermo;Gui;Gi;Güi;Gui;Elige la forma correcta de escribir la palabra.;
14; an____la;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;____so;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;____nda;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14; ami____tos;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;a____la;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;____ño;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;___a ;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;___llotina;gui;gi;güi;gui;Elige la forma correcta de escribir la palabra.;
14;____pardo;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;_____rrero;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;ju____te;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;man___ra;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;ho___ra;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;meren____;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;bode____ro;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;espa___ti;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;Hambur___sa;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;madri____ra;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;Hormi___ro;gue;ge;güe;gue;Elige la forma correcta de escribir la palabra.;
14;___melas;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;___nio;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;___latina;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;___neral;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;___neros;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;refri___rador;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;___ometría;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;deter__nte;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;___nte;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;____ma;gue;ge;güe;ge;Elige la forma correcta de escribir la palabra.;
14;cole___o;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;___tana;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;___rasol;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;___gante;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;___mnasia;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;___rar ;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;aler__a ;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;___mnasta;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;Pá___na;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;ma___a;gui;gi;güi;gi;Elige la forma correcta de escribir la palabra.;
14;Gua____ta;gui;gi;güi;güi;Elige la forma correcta de escribir la palabra.;
14;pin____no;gui;gi;güi;güi;Elige la forma correcta de escribir la palabra.;
14;para____tas;gui;gi;güi;güi;Elige la forma correcta de escribir la palabra.;
14;len___ta;gui;gi;güi;güi;Elige la forma correcta de escribir la palabra.;
14;ye____ta;gui;gi;güi;güi;Elige la forma correcta de escribir la palabra.;
14;A___ta;gui;gi;güi;güi;Elige la forma correcta de escribir la palabra.;
14;pira___smo;gui;gi;güi;güi;Elige la forma correcta de escribir la palabra.;
14;ci____ña;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;ver____nza;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;desa____;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;averi___;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;bilin___;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;zari___ya;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;para___ro;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;un___nto;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
14;anti____dad;gue;ge;güe;güe;Elige la forma correcta de escribir la palabra.;
15;Claudia &corre& todos los años la &maratón&.;;;;corre;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Felipe &mira& la hora en su &reloj&.;;;;reloj;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Me gusta &ir& los domingos a caminar en el &cerro&.;;;;cerro;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;La fruta más &rica& es la &pera&.;;;;rica;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Cuando mi mamá &ríe& se llena mi &corazón&.;;;;ríe;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Mi nuevo amigo se llama &Ramón& y es &peruano&.;;;;Ramón;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Mi hermana y yo &corremos& muy veloces por la &arena&.;;;;corremos;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Mi amigo &Raúl& y yo jugamos a los &piratas&.;;;;Raúl;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Los caballos &tiran& con fuerza la &carreta&.;;;;carreta;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;El &ruiseñor& y el &loro& son hermosas aves.;;;;ruiseñor;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Mis abuelos me &regalan& día a día todo su &cariño&.;;;;regalan;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;La señora &Teresa& cocina &ricos& queques.;;;;ricos;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;La &corona& del &rey& tiene oro y diamantes.;;;;rey;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;En mi estuche tengo lápices, &tijeras& y &regla&.;;;;regla;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Los &ratones& y las &arañas&. ;;;;ratones;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Me gusta mucho ese &perro&, &pero& a veces es un poco violento.;;;;perro;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Como iba &rápido& al colegio, no me fije que la &vereda& tenía un hoyo y me caí.;;;;rápido;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;En la &reunión& de &apoderados& se hablan importantes.;;;;reunión;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;En el sorteo de la &rifa& me gané unos lindos &aros&.;;;;rifa;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Me herí la &oreja& por &rascarme& demasiado.;;;;rascarme;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Mi plato favorito es el &puré& con pescado y ensalada de &repollo&.;;;;repollo;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;En la &rama& del árbol hay un &loro& que canta muy bonito.;;;;rama;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;El &zorro& &miraba& muy asustado al león.;;;;zorro;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Por no &amarrarme& los cordones, me caí y me hice una &herida&.;;;;amarrarme;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;El &verano& pasado me bañe en el &río& con mis hermanos.;;;;río;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;En el &reloj& están los &números& del uno al doce.;;;;reloj;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;El &pirata& &recuperó& su tesoro en el barco enemigo.;;;;recuperó;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Mi mamá cepilla su pelo &para& que no se le &enrede&.;;;;enrede;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;Mi abuelito &Enrique& &quiere& mucho a mi abuelita.;;;;Enrique;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
15;El patio de mi casa está &enrejado& para que estemos más &seguros&.;;;;enrejado;Señala cuál de las dos palabras destacadas tiene sonido r fuerte.;
16;ca____o;r fuerte;r débil;rr doble;rr doble;carro;
16;ca____o;r fuerte;r débil;rr doble;r débil;caro;
16;ca____eta;r fuerte;r débil;rr doble;r débil;careta;
16;en___edo;r fuerte;r débil;rr doble;r débil;enredo;
16;En___ique;r fuerte;r débil;rr doble;r débil;Enrique;
16;a____oz;r fuerte;r débil;rr doble;rr doble;arroz;
16;ce____o;r fuerte;r débil;rr doble;rr doble;cerro;
16;___eloj;r fuerte;r débil;rr doble;r fuerte;reloj;
16;____uido;r fuerte;r débil;rr doble;r fuerte;ruido;
16;pa____a;r fuerte;r débil;rr doble;rr doble;parra;
16;tie_____a;r fuerte;r débil;rr doble;rr doble;tierra;
16;ca____iño;r fuerte;r débil;rr doble;r débil;cariño;
16;ba____a;r fuerte;r débil;rr doble;rr doble;barra;
16;Pe____ú;r fuerte;r débil;rr doble;r débil;Perú;
16;mo____eno;r fuerte;r débil;rr doble;r débil;moreno;
16;guita_____a;r fuerte;r débil;rr doble;rr doble;guitarra;
16;a____aña;r fuerte;r débil;rr doble;r débil;araña;
16;go____o;r fuerte;r débil;rr doble;rr doble;gorro;
16;pa____ed;r fuerte;r débil;rr doble;r débil;pared;
16;pá_____afo;r fuerte;r débil;rr doble;rr doble;párrafo;
16;____egalo;r fuerte;r débil;rr doble;r fuerte;regalo;
16;a____uga;r fuerte;r débil;rr doble;rr doble;arruga;
16;to____o;r fuerte;r débil;rr doble;r débil;toro;
16;____obot;r fuerte;r débil;rr doble;r fuerte;robot;
16;ci_____uela;r fuerte;r débil;rr doble;r débil;ciruela;
16;pue____ta;r fuerte;r débil;rr doble;r débil;puerta;
16;ma____avilla;r fuerte;r débil;rr doble;r débil;maravilla;
16;ama____a;r fuerte;r débil;rr doble;rr doble;amarra;
16;____acimo;r fuerte;r débil;rr doble;r fuerte;racimo;
16;to____e;r fuerte;r débil;rr doble;rr doble;torre;
16;a_____aña;r fuerte;r débil;rr doble;r débil;araña;
16;son_____isa;r fuerte;r débil;rr doble;r débil;sonrisa;
16;____ata;r fuerte;r débil;rr doble;r fuerte;rata;
16;hon____ado;r fuerte;r débil;rr doble;r débil;honrado;
16;o____eja;r fuerte;r débil;rr doble;r débil;oreja;
16;ca_____acol;r fuerte;r débil;rr doble;r débil;caracol;
16;teso____o;r fuerte;r débil;rr doble;r débil;tesoro;
16;pe____a;r fuerte;r débil;rr doble;r débil;pera;
16;fa____ol;r fuerte;r débil;rr doble;r débil;farol;
16;na______ar;r fuerte;r débil;rr doble;rr doble;narrar;
16;en_____edo;r fuerte;r débil;rr doble;r débil;enredo;
16;_____opa;r fuerte;r débil;rr doble;r fuerte;ropa;
16;_____ico;r fuerte;r débil;rr doble;r fuerte;rico;
16;_____eja;r fuerte;r débil;rr doble;r fuerte;reja;
16;_____ueda;r fuerte;r débil;rr doble;r fuerte;rueda;
16;a_____anca;r fuerte;r débil;rr doble;rr doble;arranca;
16;____ama;r fuerte;r débil;rr doble;r fuerte;rama;
16;fo_____o;r fuerte;r débil;rr doble;rr doble;forro;
16;en_____ollar;r fuerte;r débil;rr doble;r débil;enrollar;
16;_____ubia;r fuerte;r débil;rr doble;r fuerte;rubia;
16;bu_____o;r fuerte;r débil;rr doble;rr doble;burro;
17;Las &palomas& tienen dos alas y sus patas son rojas.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
17;Puedo ver el sol en el &cielo&.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
17;El &mago& hace magia con las cosas.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
17;En el árbol hay ricas &manzanas&.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
17;La &foca& juega con la pelota.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
17;Los &pájaros& tienen lindos colores.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
17;Mi papá lee el &diario& en las mañanas.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
17;Yo hago las tareas en mi &computador&.;;;;común;Indica si la palabra subrayada corresponde a un sustantivo común o propio.;
