Nivel;pregunta;alternativa 1;alternativa 2;alternativa 3;respuesta;audio pregunta;imagen;feedback
4;Camila y Felipe juegan con el dado.;Camila;dado;Felipe;dado;¿Cuál de las siguientes palabras tiene dos sílabas?;;"La palabra  ""dado"" tiene dos sílabas ""da-do"""
4;Los pájaros tienen lindos colores.;pájaros;lindos;colores;lindos;¿Cuál de las siguientes palabras tiene dos sílabas?;;"La palabra ""lindos"" tiene dos sílabas ""lin-dos"""
4;Mi papá lee el diario en las mañanas.;papá;mañanas;las;papá;¿Cuál de las siguientes palabras tiene dos sílabas?;;"La palabra  ""papá"" tiene dos sílabas ""pa-pá"""
4;Yo hago las tareas en mi computador.;hago;yo;computador;hago;¿Cuál de las siguientes palabras tiene dos sílabas?;;"La palabra ""hago"" tiene dos sílabas ""ha-go"""
4;Mi mamá pone ropa en la maleta.;mamá;ropa;maleta;maleta;¿Cuál de las siguientes palabras tiene tres sílabas?;;"La palabra ""maleta"" tiene tres sílabas ""ma-le-ta"""
4;En el recreo corro jugando a la pelota.;corro;la;pelota;pelota;¿Cuál de las siguientes palabras tiene tres sílabas?;;"La palabra ""pelota"" tiene tres sílabas ""pe-lo-ta"""
4;La cuncuna come hojas de los árboles.;cuncuna;come;hojas;cuncuna;¿Cuál de las siguientes palabras tiene tres sílabas?;;"La palabra ""cuncuna"" tiene tres sílabas  ""cun-cu-na"""
4;La mariposa tiene lindos colores;mariposa;lindos;colores;colores;¿Cuál de las siguientes palabras tiene tres sílabas?;;"La palabra ""colores"" tiene tres sílabas ""co-lo-res"""
4;Los amigos deben respetarse.;Los;amigos;respetarse;amigos;¿Cuál de las siguientes palabras tiene tres sílabas?;;"La palabra ""amigos"" tiene tres sílabas ""a-mi-gos"""
4;Mis hermanitos son menores que yo.;hermanitos;menores;yo;hermanitos;¿Cuál de las siguientes palabras tiene cuatro sílabas?;;"La palabra ""hermanitos"" tiene cuatro sílabas ""her-ma-ni-tos"""
4;Mi mamá cocina ricas empanadas.;mamá;cocina;empanadas;empanadas;¿Cuál de las siguientes palabras tiene cuatro sílabas?;;"La palabra ""empanadas"" tiene cuatro sílabas ""em-pa-na-das"""
4;A mi me gusta jugar en el computador.;gusta;jugar;computador;computador;¿Cuál de las siguientes palabras tiene cuatro sílabas?;;"La palabra ""computador"" tiene cuatro sílabas  ""com-pu-ta-dor"""
4;En el cine vi una buena película.;cine;buena;película;película;¿Cuál de las siguientes palabras tiene cuatro sílabas?;;"La palabra ""película"" tiene cuatro sílabas ""pe-lí-cu-la"""
4;A Miguel le gusta comer mandarinas.;Miguel;comer;mandarinas;mandarinas;¿Cuál de las siguientes palabras tiene cuatro sílabas?;;"La palabra ""mandarinas"" tiene cuatro sílabas ""man-da-ri-nas"""
4;Los computadores de mi colegio son muy rápidos.;computadores;colegio;rápidos;computadores;¿Cuál de las siguientes palabras tiene cinco sílabas?;;"La palabra ""computadores"" tiene cinco sílabas ""com-pu-ta-do-res"""
4;Mi hermano mayor estudia en la universidad.;hermano;mayor;universidad;universidad;¿Cuál de las siguientes palabras tiene cinco sílabas?;;"La palabra ""universidad"" tiene cinco sílabas  ""u-ni-ver-si-dad"""
4;Al hipopótamo le gusta estar en el agua.;hipopótamo;estar;agua;hipopótamo;¿Cuál de las siguientes palabras tiene cinco sílabas?;;"La palabra ""hipopótamo"" tiene cinco sílabas ""hi-po-pó-ta-mo"""
4;En mi colegio hay buenos educadores.;colegio;buenos;educadores;educadores;¿Cuál de las siguientes palabras tiene cinco sílabas?;;"La palabra ""educadores"" tiene cinco sílabas  ""e-du-ca-do-res"""
4;Mis papás dicen que debo consumir colaciones más económicas.;consumir;colaciones;económicas;económicas;¿Cuál de las siguientes palabras tiene cinco sílabas?;;"La palabra ""económicas""  tiene cinco sílabas ""e-co-nó-mi-cas"""
5;bolso;;;;2;¿Cuántas vocales tiene esta palabra?;;
5;computador;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;plátano;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;noche;;;;2;¿Cuántas vocales tiene esta palabra?;;
5;panaderos;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;bosque;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;armadura;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;astronauta;;;;5;¿Cuántas vocales tiene esta palabra?;;
5;abuelita;;;;5;¿Cuántas vocales tiene esta palabra?;;
5;amigos;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;caracol;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;castillo;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;cumpleaños;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;elefante;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;empanada;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;estuche;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;aceituna;;;;5;¿Cuántas vocales tiene esta palabra?;;
5;flauta;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;gallina;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;hormiga;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;invierno;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;verano;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;primavera;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;otoño;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;cordillera;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;mariposa;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;playa;;;;2;¿Cuántas vocales tiene esta palabra?;;
5;profesor;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;feria;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;imaginación;;;;6;¿Cuántas vocales tiene esta palabra?;;
5;farmacia;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;auto;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;libro;;;;2;¿Cuántas vocales tiene esta palabra?;;
5;cuento;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;sombrero;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;lápiz;;;;2;¿Cuántas vocales tiene esta palabra?;;
5;caballo;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;perro;;;;2;¿Cuántas vocales tiene esta palabra?;;
5;frutilla;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;bicicleta;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;baile;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;canario;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;vacaciones;;;;5;¿Cuántas vocales tiene esta palabra?;;
5;tiburón;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;escuela;;;;4;¿Cuántas vocales tiene esta palabra?;;
5;mascota;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;oreja;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;carta;;;;2;¿Cuántas vocales tiene esta palabra?;;
5;gigante;;;;3;¿Cuántas vocales tiene esta palabra?;;
5;pastel;;;;2;¿Cuántas vocales tiene esta palabra?;;
6;bolso;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;computador;;;;6;¿Cuántas consonantes tiene esta palabra?;;
6;plátano;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;noche;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;panaderos;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;bosque;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;armadura;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;astronauta;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;abuelita;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;amigos;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;caracol;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;castillo;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;cumpleaños;;;;6;¿Cuántas consonantes tiene esta palabra?;;
6;elefante;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;empanada;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;estuche;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;aceituna;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;flauta;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;gallina;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;hormiga;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;invierno;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;familia;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;primavera;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;otoño;;;;2;¿Cuántas consonantes tiene esta palabra?;;
6;cordillera;;;;6;¿Cuántas consonantes tiene esta palabra?;;
6;mariposa;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;playa;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;profesor;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;feria;;;;2;¿Cuántas consonantes tiene esta palabra?;;
6;imaginación;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;farmacia;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;auto;;;;1;¿Cuántas consonantes tiene esta palabra?;;
6;libro;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;cuento;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;sombrero;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;lápiz;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;caballo;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;perro;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;frutilla;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;bicicleta;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;baile;;;;2;¿Cuántas consonantes tiene esta palabra?;;
6;canario;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;vacaciones;;;;5;¿Cuántas consonantes tiene esta palabra?;;
6;tiburón;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;escuela;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;mascota;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;oreja;;;;2;¿Cuántas consonantes tiene esta palabra?;;
6;carta;;;;3;¿Cuántas consonantes tiene esta palabra?;;
6;gigante;;;;4;¿Cuántas consonantes tiene esta palabra?;;
6;pastel;;;;4;¿Cuántas consonantes tiene esta palabra?;;
7;La tía de Sofía es muy bonita.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;En el sur de Chile hay lindos bosques.;;;;8;¿Cuántas palabras tiene esta oración?;;
7;Carlos toma jarabe para sentirse mejor.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;El bolso de mi mamá es lindo.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;Mi casa está cerca del colegio.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Mi colación favortita es el yogurt con cereales.;;;;8;¿Cuántas palabras tiene esta oración?;;
7;Mi profesora se llama Carolina.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Hoy comí cerezas de postre.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Me gusta mucho dibujar y pintar.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Los delfines son mamíferos.;;;;4;¿Cuántas palabras tiene esta oración?;;
7;La foca juega con la pelota.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Me gusta el flan de chocolate.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Mi abuelita siempre me llama por teléfono.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;Yo juego con mi perrito.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Mi gato se llama Fígaro.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Mi papá se llama Gerardo.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Mi mamá dice que no debo comer comida chatarra.;;;;9;¿Cuántas palabras tiene esta oración?;;
7;Siempre al llegar del colegio guardo mi mochila.;;;;8;¿Cuántas palabras tiene esta oración?;;
7;La exposición de arte dura hasta mañana.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;Los higos son frutos muy dulces y jugosos.;;;;8;¿Cuántas palabras tiene esta oración?;;
7;Las jirafas tienen el cuello muy largo.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;Mañana me juntaré con mis amigos.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Juanito compró caramelos y helados.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Mi perrita  es muy juguetona.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Mi abuelita tiene el pelo blanco.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;El kiwi es una fruta ácida.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;El cumpleaños de Lilian estuvo muy entretenido.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;El león ruge fuerte.;;;;4;¿Cuántas palabras tiene esta oración?;;
7;Mi mamá tiene lanas de muchos colores.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;Yo tengo muchos amigos.;;;;4;¿Cuántas palabras tiene esta oración?;;
7;Me gusta mucho el jugo de manzanas.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;Me gusta acostarme en el pasto.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Mi hermana se llama Natalia.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Yo nunca he volado en avión.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;En otoño hace mucho frio.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Las arañas tienen ocho patas.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Me gusta escuchar música porque me pone contenta.;;;;8;¿Cuántas palabras tiene esta oración?;;
7;La hermana de Margarita tiene quince años.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;El sol ilumina.;;;;3;¿Cuántas palabras tiene esta oración?;;
7;El almuerzo estuvo muy rico.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Me gusta leer rimas y poemas.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Tengo rosas y tulipanes en mi jardín.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;Los días sábados me levanto más tarde.;;;;7;¿Cuántas palabras tiene esta oración?;;
7;Tomás es mi mejor amigo.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Los ratones tienen cola larga.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Me gustaría viajar en avión.;;;;5;¿Cuántas palabras tiene esta oración?;;
7;Antonia vio un video muy interesante en la web.;;;;9;¿Cuántas palabras tiene esta oración?;;
7;Me gustan los duraznos.;;;;4;¿Cuántas palabras tiene esta oración?;;
7;La zampoña es un instrumento musical.;;;;6;¿Cuántas palabras tiene esta oración?;;
7;El primo de Eduardo es zurdo.;;;;6;¿Cuántas palabras tiene esta oración?;;
8;;;;;;;;
9;;Celular;Lechuga;Jugo;Lechuga;"¿Qué palabra termina con la misma sílaba que ""Oruga""?";2Oruga.png;Oruga rima con lechuga
9;;Fraile;Arroz;Camine;Fraile;"¿Qué palabra termina con la misma sílaba que ""Baile""?";3baile.jpg;Baile rima con fraile
9;;Pescado;Chino;Animal;Chino;"¿Qué palabra termina con la misma sílaba que ""Camino""?";4camino.jpg;Camino rima con chino
9;;Pantalla;Huevo;Suelo;Suelo;"¿Qué palabra termina con la misma sílaba que ""Pelo""?";5Pelo.jpg;Pelo rima con suelo
9;;Varón;Millón;Codo;Millón;"¿Qué palabra termina con la misma sílaba que ""Sillón""?";6sillon.jpg;Sillón rima con millón
9;;Hada;Cama;Alfajor;Hada;"¿Qué palabra termina con la misma sílaba que ""Almohada""?";7almohada.jpg;Almohada rima con hada
9;;Hoja;Amigo;Palo;Palo;"¿Qué palabra termina con la misma sílaba que ""Regalo""?";8Regalo.png;Regalo rima con palo
9;;Muerde;Aire;Vela;Muerde;"¿Qué palabra termina con la misma sílaba que ""verde""?";9verde.jpg;Verde rima con muerde
9;;Caminar;Hierro;Apero;Hierro;"¿Qué palabra termina con la misma sílaba que ""Perro""?";10perro.gif;Perro rima con hierro
9;;Panadera;Teresa;Cazuela;Cazuela;"¿Qué palabra termina con la misma sílaba que ""Daniela""?";11Daniela.jpg;Daniela rima con cazuela
9;;Ocaso;Pino;Zanahoria;Ocaso;"¿Rima ""Vaso"" con...?";12vaso.jpg;Vaso rima con ocaso
9;;Mantel;Abrigo;Galleta;Abrigo;"¿Rima ""Amigo"" con...?";13amigo.jpg;Amigo rima con abrigo
9;;Podrida;Cereza;Jugo;Podrida;"¿Rima ""Comida"" con...?";14comida.jpg;Comida rima con podrida
9;;Ágil;Sierra;Manos;Ágil;"¿Rima ""Lápiz"" con...?";15lapiz.png;Lápiz rima con ágil
9;;Pizarra;Fuente;Uñas;Fuente;"¿Rima ""Diente"" con...?";16diente.jpg;Diente rima con fuente
9;;Animal;Tenedor;Comida;Animal;"¿Rima ""Capitán"" con...?";17capitan.jpg;Capitán rima con animal
9;;Brujería;Chinchilla;Foca;Brujería;"¿Rima ""Pastelería"" con...?";18pasteleria.jpg;Pastelería rima con brujería
9;;Cabello;Frutal;Escoba;Frutal;"¿Rima ""Ventanal"" con...?";19ventanal.jpg;Ventanal rima con frutal
9;;Escritores;Verduras;Mesa;Escritores;"¿Rima ""Colores"" con...?";20colores.jpg;Colores rima con escritores
9;;Bárbara;Ortografía;Matrículas;Matrículas;"¿Rima ""Películas"" con...?";21peliculas.png;Películas rima con matrículas
9;;Muñeca;Material;Mejillón;Muñeca;"¿Rima ""Biblioteca"" con...?";22biblioteca.jpg;Biblioteca rima con munieca
9;;Teléfono;Dante;Agua;Dante;"¿Rima ""Cantante"" con...?";23cantante.jpg;Cantante rima con dante
9;;Tostada;Armadura;Premio;Armadura;"¿Rima ""Verdura"" con...?";24verdura.jpg;Verdura rima con armadura
9;;Principio;Alcohol;Playa;Principio;"¿Rima ""Ripio"" con...?";25ripio.jpg;Ripio rima con principio
9;;Tenedor;Fideo;Sílabas;Fideo;"¿Rima ""Correo"" con...?";26correo.png;Correo rima con fideo
9;;Anciana;Marido;Canción;Anciana;"¿Rima ""Manzana"" con...?";27manzana.jpg;Manzana rima con anciana
9;;Zapatilla;Hacha;Alcoba;Alcoba;"¿Rima ""Escoba"" con...?";28escoba.jpg;Escoba rima con alcoba
9;;Peligre;Amasar;Teclado;Peligre;"¿Rima ""Tigre"" con...?";29tigre.gif;Tigre rima con peligre
9;;Camisa;Final;Amarillo;Final;"¿Rima ""Frutal"" con...?";30frutal.jpg;Frutal rima con final
9;;Gotera;Madrina;Naranja;Gotera;"¿Rima ""Litera"" con...?";31litera.jpg;Litera rima con gotera
9;;amigo;danza;tomate;danza;¿Cuál de las palabras rima con confianza?;confianza.jpeg;Danza rima con confianza
9;;vidrio;sentimiento;pasaje;pasaje;¿Cuál de las palabras rima con mensaje?;mensaje.jpg;Pasaje rima con mensaje
9;;partir;mirada;mesa;partir;¿Cuál de las palabras rima con sentir?;partir.gif;Partir rima con sentir
9;;vidrio;virar;milla;virar;¿Cuál de las palabras rima con mirar?;mirar.jpg;Virar rima con mirar
9;;miércoles;crecer;pesa;pesa;¿Cuál de las palabras rima con mesa?;mesa.png;Pesa rima con mesa
9;;cuerno;canción;dado;cuerno;¿Cuál de las palabras rima con trueno?;trueno.png;Cuerno rima con trueno
10;¿Cuáles palabras riman en este verso?;Gustaba/perro;Correr/comer;Día/mover;Correr/comer;Nos regalaron un perro. al que no le gustaba correr. y de tanto comer y comer. un buen día no se pudo ni mover;;Correr rima con comer
10;¿Cuáles palabras riman en este verso?;Vecindario/Artista;Vecindario/piensan;Deportista/artista;Deportista/artista;Ahora es un deportista. que tiene a todo el vecindario. entusiasmado, porque piensan. que es todo un artista;;Deportista rima con artista
10;¿Cuáles palabras riman en este verso?;Mano/enano;Mano/sombra;Sombra/enano;Mano/enano;Mano, mano. Juego de sombras. Juego de enanos.;;Mano rima con enano
10;¿Cuáles palabras riman en este verso?;Danzarín/terminamos;Danzarín/jardín;Mí/Jardín;Mí/Jardín;Mi gato Danzarín. se sienta junto a mí. y cuando terminamos. jugamos en el jardín;;Mí rima con Jardín
10;¿Cuáles palabras riman en este verso?;Lunera/cielo;Durmiendo/silencio;Cielo/silencio;Durmiendo/silencio;Luna lunera. mi niño se está durmiendo. que los luceros del cielo. guarden silencio.;;Durmiendo rima con silencio
10;¿Cuáles palabras riman en este verso?;Mirando/cara;Cara/callado;Mirando/Callado;Mirando/Callado;La abuela está mirando. la dulzura de tu cara. y tu me miras callado. con inocencia en tu alma.;;Mirando rima con Callado
10;¿Cuáles palabras riman en este verso?;Viejecito/rincón;Rincón/sol;Rincón/siesta;Rincón/sol;"Es un coche viejecito. aparcado en un rincón. que duerme solo la siesta. cuando ""pega"" fuerte el sol.";;Rincón rima con sol
10;¿Cuáles palabras riman en este verso?;Contento/asiento;Escena/permitan;Permitan/asiento;Contento/asiento;El perro que ve la escena. ladra y corre muy contento. quiere que le permitan. dormir en el suave asiento.;;Contento rima con asiento
10;¿Cuáles palabras riman en este verso?;Instalado/bufanda;Instalado/hilado;Bufanda/hilado;Instalado/hilado;La araña Valentina. que en un rincón se ha instalado. le tejerá una bufanda. de algodón muy bien hilado.;;Instalado rima con hilado
10;¿Cuáles palabras riman en este verso?;Ocasión/rincón;Avispado/amigos;Ocasión/amigos;Ocasión/rincón;Un gato muy avispado. ha encontrado la ocasión. de hacer nuevos amigos. y aprovechar un rincón.;;Ocasión rima con rincón
10;¿Cuáles palabras riman en este verso?;Contento/solito;Solito/gracias;Solito/amiguitos;Solito/amiguitos;El coche está muy contento. de no encontrarse solito. y llora dando las gracias. por tener tantos amiguitos.;;Solito rima con amiguitos
10;¿Cuáles palabras riman en este verso?;Elefante/elegante;Florentina/educada;Educada/elegante;Elefante/elegante;Doña Florentina. es una elefante. Que aparte de educada. es elegante.;;Elefante rima con elegante
10;¿Cuáles palabras riman en este verso?;Trinar/mirlo;Mirlo/oírlo;Entenderlo/oírlo;Mirlo/oírlo;Le gusta el trinar. de don Mirlo. Para entenderlo. hay que oírlo.;;Mirlo rima con oírlo
10;¿Cuáles palabras riman en este verso?;Música/flauta;Flauta/plata;Sueños/plata;Flauta/plata;Le gusta la música. y toca la flauta. vive en los sueños. en casa de plata;;Flauta rima con plata
10;¿Cuáles palabras riman en este verso?;Personaje/infantil;Infantil/siempre;Infantil/dormir;Infantil/dormir;Es un personaje. de cuento infantil. aparece siempre. para hacerte dormir.;;Infantil rima con dormir
11;Los caracoles se alimentan de ricas &hojas&.;La;Las;Una;Las;Identifica el artículo que corresponde a la palabra destacada.;;
11;En invierno uso &guantes& y gorro para abrigarme.;un;Unos;El;Unos;Identifica el artículo que corresponde a la palabra destacada.;;
11;Martina e Isidora comen &helados& para pasar el calor;El;La;Unos;Unos;Identifica el artículo que corresponde a la palabra destacada.;;
11;Las calles de mi &barrio& son iluminadas y seguras.;El;Los;Unos;El;Identifica el artículo que corresponde a la palabra destacada.;;
11;Me gusta mucho leer &cuentos& antes de acostarme.;Un;Los;El;Los;Identifica el artículo que corresponde a la palabra destacada.;;
11;Fui a ver a mi abuelita y me preparó ricas galletas para tomar &té&.;El;La;Unos;El;Identifica el artículo que corresponde a la palabra destacada.;;
11;Cuando voy al cine  me gusta ver &películas& comiendo galletas.;Una;Unas;Un;Unas;Identifica el artículo que corresponde a la palabra destacada.;;
11;Mi &estuche& tiene gran variedad de lápices.;El;Unos;La;El;Identifica el artículo que corresponde a la palabra destacada.;;
11;A mi perrito Inti le encanta comer &galletas&.;Las;Una;La;Las;Identifica el artículo que corresponde a la palabra destacada.;;
11;Todos los viernes mi profesora nos da &tarea& para la casa.;La;Unas;Un;La;Identifica el artículo que corresponde a la palabra destacada.;;
11;Necesito comprar &pinceles& y témperas para hacer un trabajo.;Unos;Un;El;Unos;Identifica el artículo que corresponde a la palabra destacada.;;
11;En el cumpleaños de Manuel habrá una piñata llena de &dulces&.;Un;Unos;El;Unos;Identifica el artículo que corresponde a la palabra destacada.;;
11;Los domingos me gusta comer una comida especial y ricos &postres&.;Un;El;Los;Los;Identifica el artículo que corresponde a la palabra destacada.;;
11;Por las noches me gusta salir al &patio& y ver la luna.;Un;La;Unos;Un;Identifica el artículo que corresponde a la palabra destacada.;;
11;Todos los días paseo a mi perro aunque no le gusta usar &correa&.;La;Unas;El;La;Identifica el artículo que corresponde a la palabra destacada.;;
11;Me gusta mucho ir de &paseo& con mis papás al parque.;La;El;Una;El;Identifica el artículo que corresponde a la palabra destacada.;;
11;A mi hermana le gusta mucho escuchar &música&.;La;Un;Unas;La;Identifica el artículo que corresponde a la palabra destacada.;;
11;Para la once de ayer mi mamá preparó ricas &galletas&.;Unas;La;El;Unas;Identifica el artículo que corresponde a la palabra destacada.;;
11;Susana y Catalina compraron lindos &vestidos&.;Un;Una;Unos;Unos;Identifica el artículo que corresponde a la palabra destacada.;;
11;Hoy nuestra profesora nos pidió dibujar nuestro &animal& favorito.;Un;Una;Unos;Un;Identifica el artículo que corresponde a la palabra destacada.;;
11;Mi mamá dice que cuando sea grande seré &artista&.;Una;Las;Los;Una;Identifica el artículo que corresponde a la palabra destacada.;;
11;Mi tía me regalo lindos &calcetines& para el frío.;El;Los;La;Los;Identifica el artículo que corresponde a la palabra destacada.;;
11;Hoy me quedé despierta y llegué tarde al &trabajo&.;Unos;Un;El;El;Identifica el artículo que corresponde a la palabra destacada.;;
11;El sábado estuvimos de &fiesta& por el cumpleaños de mi hermana.;La;Unas;El;La;Identifica el artículo que corresponde a la palabra destacada.;;
11;Mi mamá se echa &crema& todas las noches antes de acostarse.;Un;Los;La;La;Identifica el artículo que corresponde a la palabra destacada.;;
12;La ______ convive con hermosos peces de colores.;sirena;cirena;;sirena;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Esta ______ está coja.;silla;cilla;;silla;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Un ______ me indicó venir para acá.;señor;ceñor;;señor;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Los ______ de mi amiga son sagrados.;secretos;cecretos;;secretos;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;La ______ es un lindo reptil.;serpiente;cerpiente;;serpiente;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Este mar está lleno de ______ de colores.;peces;peses;;peces;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Cuando las autoridades hablaron todos guardamos ______.;silencio;cilencio;;silencio;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;En el ______ de Santiago trabajan muchas personas.;centro;sentro;;centro;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Mi gato duerme todo el día en el ______.;sillón;cillón;;sillón;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Al ver a mi mamá sentí mucha ______.;felicidad;felisidad;;felicidad;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Cada ______ tenemos una vez educación física.;semana;cemana;;semana;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;El animal a rayas más lindo es la ______.;cebra;sebra;;cebra;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Cuando él se enoja levanta su ______.;ceja;seja;;ceja;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;La ______ es un alimento muy rico y saludable.;cebolla;sebolla;;cebolla;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;El patio de mi casa tiene un poco de pasto y un poco de ______.;cemento;semento;;cemento;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
12;Antes de número uno está el ______.;cero;sero;;cero;¿Cuál es la palabra correctamente escrita que corresponde en la oración?;;
